fedstat_name,geo_name,federal_district,capital_city,capital_lat,capital_lon,region_code,name_short,source
Донецкая Народная Республика,Донецкая Народная Республика,Южный федеральный округ,Донецк,48.0023,37.805,DPR,Донецкая,DEEONE ru-subjects.csv
Краснодарский край,Краснодарский край,Южный федеральный округ,Краснодар,45.0355,38.975,KDA,Краснодарский,DEEONE ru-subjects.csv
Ставропольский край,Ставропольский край,Северо-Кавказский федеральный округ,Ставрополь,45.0428,41.9734,STA,Ставропольский,DEEONE ru-subjects.csv
Чеченская Республика,Чеченская Республика,Северо-Кавказский федеральный округ,Грозный,43.3179,45.6981,CE,Чеченская,DEEONE ru-subjects.csv
Республика Дагестан,Республика Дагестан,Северо-Кавказский федеральный округ,Махачкала,42.9849,47.5047,DA,Дагестан,DEEONE ru-subjects.csv
Херсонская область,Херсонская область,Южный федеральный округ,Геническ,46.174,34.8112,KHE,Херсонская,DEEONE ru-subjects.csv
Запорожская область,Запорожская область,Южный федеральный округ,Мелитополь,46.8489,35.3677,ZAP,Запорожская,DEEONE ru-subjects.csv
г. Севастополь,г. Севастополь,Южный федеральный округ,Севастополь,44.6166,33.5253,SEV,Севастополь,DEEONE ru-subjects.csv
Республика Крым,Республика Крым,Южный федеральный округ,Симферополь,44.9524,34.1024,CR,Крым,DEEONE ru-subjects.csv
Республика Адыгея,Республика Адыгея,Южный федеральный округ,Майкоп,44.6098,40.1006,AD,Адыгея,DEEONE ru-subjects.csv
Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,Черкесск,44.2236,42.0568,KC,Карачаево-Черкесская,DEEONE ru-subjects.csv
Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,Нальчик,43.4946,43.6155,KB,Кабардино-Балкарская,DEEONE ru-subjects.csv
Республика Ингушетия,Республика Ингушетия,Северо-Кавказский федеральный округ,Магас,43.1681,44.8133,IN,Ингушетия,DEEONE ru-subjects.csv
Республика Северная Осетия - Алания,Республика Северная Осетия - Алания,Северо-Кавказский федеральный округ,Владикавказ,43.0245,44.6818,SE,Северная Осетия — Алания,DEEONE ru-subjects.csv
