label_0,label_1,label_2,period_label,period,value
Липецкая область,15-72 лет,процент,II квартал,2011-Q2,5.1
Липецкая область,15-72 лет,процент,III квартал,2011-Q3,4.3
Липецкая область,15-72 лет,процент,IV квартал,2011-Q4,4.2
Липецкая область,15-72 лет,процент,значение показателя за год,2011,4.9
Липецкая область,15-72 лет,процент,I квартал,2012-Q1,4.4
Липецкая область,15-72 лет,процент,II квартал,2012-Q2,2.8
Липецкая область,15-72 лет,процент,III квартал,2012-Q3,3.2
Липецкая область,15-72 лет,процент,IV квартал,2012-Q4,3.8
Липецкая область,15-72 лет,процент,значение показателя за год,2012,3.6
Московская область,15-72 лет,процент,значение показателя за год,2000,7.8
Московская область,15-72 лет,процент,значение показателя за год,2001,5.6
Московская область,15-72 лет,процент,значение показателя за год,2002,4.4
Московская область,15-72 лет,процент,значение показателя за год,2003,4.4
Московская область,15-72 лет,процент,значение показателя за год,2004,3.8
Московская область,15-72 лет,процент,значение показателя за год,2005,3.2
Московская область,15-72 лет,процент,значение показателя за год,2006,3.0
Московская область,15-72 лет,процент,значение показателя за год,2007,2.0
Московская область,15-72 лет,процент,значение показателя за год,2008,2.7
Московская область,15-72 лет,процент,значение показателя за год,2009,4.8
Московская область,15-72 лет,процент,I квартал,2010-Q1,3.1
Московская область,15-72 лет,процент,II квартал,2010-Q2,3.3
Московская область,15-72 лет,процент,III квартал,2010-Q3,3.6
Московская область,15-72 лет,процент,IV квартал,2010-Q4,3.2
Московская область,15-72 лет,процент,значение показателя за год,2010,3.3
Московская область,15-72 лет,процент,I квартал,2011-Q1,3.4
Московская область,15-72 лет,процент,II квартал,2011-Q2,3.4
Московская область,15-72 лет,процент,III квартал,2011-Q3,3.9
Московская область,15-72 лет,процент,IV квартал,2011-Q4,4.1
Московская область,15-72 лет,процент,значение показателя за год,2011,3.7
Московская область,15-72 лет,процент,I квартал,2012-Q1,3.5
Московская область,15-72 лет,процент,II квартал,2012-Q2,2.7
Московская область,15-72 лет,процент,III квартал,2012-Q3,2.7
Московская область,15-72 лет,процент,IV квартал,2012-Q4,2.8
Московская область,15-72 лет,процент,значение показателя за год,2012,2.9
Орловская область,15-72 лет,процент,значение показателя за год,2000,8.6
Орловская область,15-72 лет,процент,значение показателя за год,2001,7.9
Орловская область,15-72 лет,процент,значение показателя за год,2002,6.7
Орловская область,15-72 лет,процент,значение показателя за год,2003,8.0
Орловская область,15-72 лет,процент,значение показателя за год,2004,6.2
Орловская область,15-72 лет,процент,значение показателя за год,2005,6.3
Орловская область,15-72 лет,процент,значение показателя за год,2006,5.9
Орловская область,15-72 лет,процент,значение показателя за год,2007,5.5
Орловская область,15-72 лет,процент,значение показателя за год,2008,6.0
Орловская область,15-72 лет,процент,значение показателя за год,2009,9.8
Орловская область,15-72 лет,процент,I квартал,2010-Q1,10.7
Орловская область,15-72 лет,процент,II квартал,2010-Q2,8.9
Орловская область,15-72 лет,процент,III квартал,2010-Q3,8.3
Орловская область,15-72 лет,процент,IV квартал,2010-Q4,7.8
Орловская область,15-72 лет,процент,значение показателя за год,2010,8.9
Орловская область,15-72 лет,процент,I квартал,2011-Q1,7.2
Орловская область,15-72 лет,процент,II квартал,2011-Q2,5.1
Орловская область,15-72 лет,процент,III квартал,2011-Q3,6.5
Орловская область,15-72 лет,процент,IV квартал,2011-Q4,6.2
Орловская область,15-72 лет,процент,значение показателя за год,2011,6.3
Орловская область,15-72 лет,процент,I квартал,2012-Q1,6.6
Орловская область,15-72 лет,процент,II квартал,2012-Q2,4.2
Орловская область,15-72 лет,процент,III квартал,2012-Q3,5.4
Орловская область,15-72 лет,процент,IV квартал,2012-Q4,5.2
Орловская область,15-72 лет,процент,значение показателя за год,2012,5.3
Рязанская область,15-72 лет,процент,значение показателя за год,2000,9.5
Рязанская область,15-72 лет,процент,значение показателя за год,2001,10.9
Рязанская область,15-72 лет,процент,значение показателя за год,2002,8.1
Рязанская область,15-72 лет,процент,значение показателя за год,2003,8.4
Рязанская область,15-72 лет,процент,значение показателя за год,2004,5.8
Рязанская область,15-72 лет,процент,значение показателя за год,2005,5.2
Рязанская область,15-72 лет,процент,значение показателя за год,2006,4.9
Рязанская область,15-72 лет,процент,значение показателя за год,2007,3.7
Рязанская область,15-72 лет,процент,значение показателя за год,2008,5.4
Рязанская область,15-72 лет,процент,значение показателя за год,2009,9.0
Рязанская область,15-72 лет,процент,I квартал,2010-Q1,10.3
Рязанская область,15-72 лет,процент,II квартал,2010-Q2,8.2
Рязанская область,15-72 лет,процент,III квартал,2010-Q3,7.2
Рязанская область,15-72 лет,процент,IV квартал,2010-Q4,8.0
Рязанская область,15-72 лет,процент,значение показателя за год,2010,8.4
Рязанская область,15-72 лет,процент,I квартал,2011-Q1,8.6
Рязанская область,15-72 лет,процент,II квартал,2011-Q2,7.0
Рязанская область,15-72 лет,процент,III квартал,2011-Q3,7.3
Рязанская область,15-72 лет,процент,IV квартал,2011-Q4,6.0
Рязанская область,15-72 лет,процент,значение показателя за год,2011,7.2
Рязанская область,15-72 лет,процент,I квартал,2012-Q1,5.6
