label_0,label_1,period_label,period,value
Тамбовская область,рубль,,2006,6814.8
Тамбовская область,рубль,,2007,8514.7
Тверская область,рубль,,1995,351.0
Тверская область,рубль,,1996,480.1
Тверская область,рубль,,1997,549.7
Тверская область,рубль,,1998,596.9
Тверская область,рубль,,1999,970.8
Тверская область,рубль,,2000,1253.7
Тверская область,рубль,,2001,1689.6
Тверская область,рубль,,2002,2349.2
Тверская область,рубль,,2003,3020.6
Тверская область,рубль,,2004,3955.8
Тверская область,рубль,,2005,5606.1
Тверская область,рубль,,2006,7266.6
Тверская область,рубль,,2007,8542.9
Тульская область,рубль,,1995,398.8
Тульская область,рубль,,1996,549.5
Тульская область,рубль,,1997,710.3
Тульская область,рубль,,1998,695.7
Тульская область,рубль,,1999,1106.2
Тульская область,рубль,,2000,1486.0
Тульская область,рубль,,2001,2015.1
Тульская область,рубль,,2002,2619.8
Тульская область,рубль,,2003,3382.6
Тульская область,рубль,,2004,3988.9
Тульская область,рубль,,2005,4988.4
Тульская область,рубль,,2006,6564.1
Тульская область,рубль,,2007,8264.7
Ярославская область,рубль,,1995,472.8
Ярославская область,рубль,,1996,629.3
Ярославская область,рубль,,1997,729.6
Ярославская область,рубль,,1998,798.0
Ярославская область,рубль,,1999,1303.4
Ярославская область,рубль,,2000,1804.2
Ярославская область,рубль,,2001,2518.2
Ярославская область,рубль,,2002,3354.2
Ярославская область,рубль,,2003,4266.6
Ярославская область,рубль,,2004,5094.6
Ярославская область,рубль,,2005,6320.7
Ярославская область,рубль,,2006,8263.5
Ярославская область,рубль,,2007,10101.3
Город Москва столица Российской Федерации город федерального значения,рубль,,1995,1710.3
Город Москва столица Российской Федерации город федерального значения,рубль,,1996,2639.2
Город Москва столица Российской Федерации город федерального значения,рубль,,1997,3200.3
Город Москва столица Российской Федерации город федерального значения,рубль,,1998,3635.0
Город Москва столица Российской Федерации город федерального значения,рубль,,1999,6003.3
Город Москва столица Российской Федерации город федерального значения,рубль,,2000,7998.3
Город Москва столица Российской Федерации город федерального значения,рубль,,2001,10282.0
Город Москва столица Российской Федерации город федерального значения,рубль,,2002,12460.8
Город Москва столица Российской Федерации город федерального значения,рубль,,2003,16826.6
Город Москва столица Российской Федерации город федерального значения,рубль,,2004,20899.1
Город Москва столица Российской Федерации город федерального значения,рубль,,2005,24013.9
Город Москва столица Российской Федерации город федерального значения,рубль,,2006,28249.4
Город Москва столица Российской Федерации город федерального значения,рубль,,2007,33314.8
Северо-Западный федеральный округ,рубль,,2000,2268.9
Северо-Западный федеральный округ,рубль,,2001,3084.1
Северо-Западный федеральный округ,рубль,,2002,4010.5
Северо-Западный федеральный округ,рубль,,2003,5403.5
Северо-Западный федеральный округ,рубль,,2004,6938.2
Северо-Западный федеральный округ,рубль,,2005,8995.9
Северо-Западный федеральный округ,рубль,,2006,10889.3
Северо-Западный федеральный округ,рубль,,2007,13163.0
Республика Карелия,рубль,,1995,690.5
Республика Карелия,рубль,,1996,949.2
Республика Карелия,рубль,,1997,1057.5
Республика Карелия,рубль,,1998,1077.0
Республика Карелия,рубль,,1999,1752.3
Республика Карелия,рубль,,2000,2313.2
Республика Карелия,рубль,,2001,2930.8
Республика Карелия,рубль,,2002,4061.0
Республика Карелия,рубль,,2003,4937.0
Республика Карелия,рубль,,2004,5809.2
Республика Карелия,рубль,,2005,7277.8
Республика Карелия,рубль,,2006,9127.6
Республика Карелия,рубль,,2007,10547.6
Республика Коми,рубль,,1995,694.8
Республика Коми,рубль,,1996,1034.1
Республика Коми,рубль,,1997,1330.0
Республика Коми,рубль,,1998,1459.2
Республика Коми,рубль,,1999,2225.5
Республика Коми,рубль,,2000,3140.8
Республика Коми,рубль,,2001,4862.1
Республика Коми,рубль,,2002,6225.0
Республика Коми,рубль,,2003,7476.7
Республика Коми,рубль,,2004,9300.6
Республика Коми,рубль,,2005,11452.3
Республика Коми,рубль,,2006,13782.2
Республика Коми,рубль,,2007,16760.7
Архангельская область,рубль,,1995,518.6
Архангельская область,рубль,,1996,693.5
Архангельская область,рубль,,1997,822.8
Архангельская область,рубль,,1998,840.1
Архангельская область,рубль,,1999,1434.2
Архангельская область,рубль,,2000,2139.5
Архангельская область,рубль,,2001,3041.1
Архангельская область,рубль,,2002,3956.5
Архангельская область,рубль,,2003,4834.2
Архангельская область,рубль,,2004,6119.4
Архангельская область,рубль,,2005,7902.5
Архангельская область,рубль,,2006,9625.8
Архангельская область,рубль,,2007,11702.8
Ненецкий автономный округ (Архангельская область),рубль,,1997,1177.7
Ненецкий автономный округ (Архангельская область),рубль,,1998,1306.7
Ненецкий автономный округ (Архангельская область),рубль,,1999,1904.2
Ненецкий автономный округ (Архангельская область),рубль,,2000,3426.3
Ненецкий автономный округ (Архангельская область),рубль,,2001,5887.6
Ненецкий автономный округ (Архангельская область),рубль,,2002,8621.1
Ненецкий автономный округ (Архангельская область),рубль,,2003,14197.2
Ненецкий автономный округ (Архангельская область),рубль,,2004,20122.2
Ненецкий автономный округ (Архангельская область),рубль,,2005,21501.8
Ненецкий автономный округ (Архангельская область),рубль,,2006,27276.5
Ненецкий автономный округ (Архангельская область),рубль,,2007,38038.8
Вологодская область,рубль,,1995,505.0
Вологодская область,рубль,,1996,709.1
Вологодская область,рубль,,1997,890.7
Вологодская область,рубль,,1998,884.7
