label_0,label_1,label_2,period_label,period,value
Тюменская область,процент,значение показателя за год,,2020,91.2
Тюменская область,процент,значение показателя за год,,2021,124.5
Ханты-Мансийский автономный округ - Югра (Тюменская область),процент,значение показателя за год,,2017,129.5
Ханты-Мансийский автономный округ - Югра (Тюменская область),процент,значение показателя за год,,2018,132.8
Ханты-Мансийский автономный округ - Югра (Тюменская область),процент,значение показателя за год,,2019,127.3
Ханты-Мансийский автономный округ - Югра (Тюменская область),процент,значение показателя за год,,2020,80.2
Ханты-Мансийский автономный округ - Югра (Тюменская область),процент,значение показателя за год,,2021,106.4
Ямало-Ненецкий автономный округ (Тюменская область),процент,значение показателя за год,,2017,94.8
Ямало-Ненецкий автономный округ (Тюменская область),процент,значение показателя за год,,2018,99.3
Ямало-Ненецкий автономный округ (Тюменская область),процент,значение показателя за год,,2019,126.3
Ямало-Ненецкий автономный округ (Тюменская область),процент,значение показателя за год,,2020,96.0
Ямало-Ненецкий автономный округ (Тюменская область),процент,значение показателя за год,,2021,114.9
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),процент,значение показателя за год,,2017,111.5
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),процент,значение показателя за год,,2018,133.7
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),процент,значение показателя за год,,2019,151.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),процент,значение показателя за год,,2020,98.3
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),процент,значение показателя за год,,2021,141.1
Челябинская область,процент,значение показателя за год,,2017,112.9
Челябинская область,процент,значение показателя за год,,2018,119.5
Челябинская область,процент,значение показателя за год,,2019,120.3
Челябинская область,процент,значение показателя за год,,2020,81.2
Челябинская область,процент,значение показателя за год,,2021,126.9
Сибирский федеральный округ,процент,значение показателя за год,,2017,112.9
Сибирский федеральный округ,процент,значение показателя за год,,2018,127.6
Сибирский федеральный округ,процент,значение показателя за год,,2019,133.7
Сибирский федеральный округ,процент,значение показателя за год,,2020,86.9
Сибирский федеральный округ,процент,значение показателя за год,,2021,130.5
Республика Алтай,процент,значение показателя за год,,2017,112.4
Республика Алтай,процент,значение показателя за год,,2018,136.6
Республика Алтай,процент,значение показателя за год,,2019,155.3
Республика Алтай,процент,значение показателя за год,,2020,102.2
Республика Алтай,процент,значение показателя за год,,2021,190.8
Республика Тыва,процент,значение показателя за год,,2017,74.2
Республика Тыва,процент,значение показателя за год,,2018,77.6
Республика Тыва,процент,значение показателя за год,,2019,84.8
Республика Тыва,процент,значение показателя за год,,2020,71.8
Республика Тыва,процент,значение показателя за год,,2021,82.6
Республика Хакасия,процент,значение показателя за год,,2017,98.2
Республика Хакасия,процент,значение показателя за год,,2018,144.2
Республика Хакасия,процент,значение показателя за год,,2019,160.6
Республика Хакасия,процент,значение показателя за год,,2020,92.6
Республика Хакасия,процент,значение показателя за год,,2021,111.6
Алтайский край,процент,значение показателя за год,,2017,111.9
Алтайский край,процент,значение показателя за год,,2018,111.4
Алтайский край,процент,значение показателя за год,,2019,117.2
Алтайский край,процент,значение показателя за год,,2020,79.8
Алтайский край,процент,значение показателя за год,,2021,114.4
Красноярский край,процент,значение показателя за год,,2017,81.6
Красноярский край,процент,значение показателя за год,,2018,97.6
Красноярский край,процент,значение показателя за год,,2019,109.0
Красноярский край,процент,значение показателя за год,,2020,68.1
Красноярский край,процент,значение показателя за год,,2021,113.6
Иркутская область,процент,значение показателя за год,,2017,108.2
Иркутская область,процент,значение показателя за год,,2018,123.5
Иркутская область,процент,значение показателя за год,,2019,133.6
Иркутская область,процент,значение показателя за год,,2020,80.7
Иркутская область,процент,значение показателя за год,,2021,116.3
Кемеровская область - Кузбасс,процент,значение показателя за год,,2017,150.0
Кемеровская область - Кузбасс,процент,значение показателя за год,,2018,158.6
Кемеровская область - Кузбасс,процент,значение показателя за год,,2019,158.8
Кемеровская область - Кузбасс,процент,значение показателя за год,,2020,104.8
Кемеровская область - Кузбасс,процент,значение показателя за год,,2021,184.8
Новосибирская область,процент,значение показателя за год,,2017,159.4
Новосибирская область,процент,значение показателя за год,,2018,192.7
Новосибирская область,процент,значение показателя за год,,2019,202.8
Новосибирская область,процент,значение показателя за год,,2020,143.6
Новосибирская область,процент,значение показателя за год,,2021,196.1
Омская область,процент,значение показателя за год,,2017,93.9
Омская область,процент,значение показателя за год,,2018,99.9
Омская область,процент,значение показателя за год,,2019,92.3
Омская область,процент,значение показателя за год,,2020,61.0
Омская область,процент,значение показателя за год,,2021,83.5
Томская область,процент,значение показателя за год,,2017,135.1
Томская область,процент,значение показателя за год,,2018,150.6
Томская область,процент,значение показателя за год,,2019,140.8
Томская область,процент,значение показателя за год,,2020,76.6
Томская область,процент,значение показателя за год,,2021,125.8
Дальневосточный федеральный округ,процент,значение показателя за год,,2017,111.1
Дальневосточный федеральный округ,процент,значение показателя за год,,2018,111.7
Дальневосточный федеральный округ,процент,значение показателя за год,,2019,125.7
Дальневосточный федеральный округ,процент,значение показателя за год,,2020,78.1
Дальневосточный федеральный округ,процент,значение показателя за год,,2021,107.7
Республика Бурятия,процент,значение показателя за год,,2017,99.3
Республика Бурятия,процент,значение показателя за год,,2018,94.6
Республика Бурятия,процент,значение показателя за год,,2019,103.8
Республика Бурятия,процент,значение показателя за год,,2020,70.9
Республика Бурятия,процент,значение показателя за год,,2021,105.0
Забайкальский край,процент,значение показателя за год,,2017,86.2
Забайкальский край,процент,значение показателя за год,,2018,91.6
Забайкальский край,процент,значение показателя за год,,2019,106.5
Забайкальский край,процент,значение показателя за год,,2020,83.2
Забайкальский край,процент,значение показателя за год,,2021,125.2
Республика Саха (Якутия),процент,значение показателя за год,,2017,125.4
Республика Саха (Якутия),процент,значение показателя за год,,2018,129.2
Республика Саха (Якутия),процент,значение показателя за год,,2019,132.4
Республика Саха (Якутия),процент,значение показателя за год,,2020,75.3
Республика Саха (Якутия),процент,значение показателя за год,,2021,114.4
Камчатский край,процент,значение показателя за год,,2017,124.0
