label_0,label_1,label_2,period_label,period,value
Новгородская область,процент,значение показателя за год,,2012,4.1
Новгородская область,процент,значение показателя за год,,2013,4.6
Новгородская область,процент,значение показателя за год,,2014,3.7
Новгородская область,процент,значение показателя за год,,2015,4.6
Новгородская область,процент,значение показателя за год,,2016,4.9
Новгородская область,процент,значение показателя за год,,2017,4.7
Новгородская область,процент,значение показателя за год,,2018,4.2
Псковская область,процент,значение показателя за год,,2010,9.5
Псковская область,процент,значение показателя за год,,2011,9.3
Псковская область,процент,значение показателя за год,,2012,6.6
Псковская область,процент,значение показателя за год,,2013,7.0
Псковская область,процент,значение показателя за год,,2014,6.5
Псковская область,процент,значение показателя за год,,2015,6.9
Псковская область,процент,значение показателя за год,,2016,6.7
Псковская область,процент,значение показателя за год,,2017,6.5
Псковская область,процент,значение показателя за год,,2018,5.7
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2010,2.6
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2011,2.0
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2012,1.1
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2013,1.5
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2014,1.4
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2015,2.1
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2016,1.6
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2017,1.7
Город Санкт-Петербург город федерального значения,процент,значение показателя за год,,2018,1.5
Южный федеральный округ (до 29.07.2016),процент,значение показателя за год,,2010,7.6
Южный федеральный округ (до 29.07.2016),процент,значение показателя за год,,2011,7.0
Южный федеральный округ (до 29.07.2016),процент,значение показателя за год,,2012,6.2
Южный федеральный округ (до 29.07.2016),процент,значение показателя за год,,2013,6.5
Южный федеральный округ (до 29.07.2016),процент,значение показателя за год,,2014,6.2
Южный федеральный округ (до 29.07.2016),процент,значение показателя за год,,2015,6.6
Южный федеральный округ (до 29.07.2016),процент,значение показателя за год,,2016,6.3
Южный федеральный округ,процент,значение показателя за год,,2016,6.4
Южный федеральный округ,процент,значение показателя за год,,2017,6.0
Южный федеральный округ,процент,значение показателя за год,,2018,5.6
Республика Адыгея (Адыгея),процент,значение показателя за год,,2010,9.3
Республика Адыгея (Адыгея),процент,значение показателя за год,,2011,8.4
Республика Адыгея (Адыгея),процент,значение показателя за год,,2012,8.1
Республика Адыгея (Адыгея),процент,значение показателя за год,,2013,7.9
Республика Адыгея (Адыгея),процент,значение показателя за год,,2014,8.6
Республика Адыгея (Адыгея),процент,значение показателя за год,,2015,8.8
Республика Адыгея (Адыгея),процент,значение показателя за год,,2016,9.0
Республика Адыгея (Адыгея),процент,значение показателя за год,,2017,8.8
Республика Адыгея (Адыгея),процент,значение показателя за год,,2018,8.6
Республика Калмыкия,процент,значение показателя за год,,2010,14.8
Республика Калмыкия,процент,значение показателя за год,,2011,14.2
Республика Калмыкия,процент,значение показателя за год,,2012,13.1
Республика Калмыкия,процент,значение показателя за год,,2013,12.5
Республика Калмыкия,процент,значение показателя за год,,2014,10.9
Республика Калмыкия,процент,значение показателя за год,,2015,10.7
Республика Калмыкия,процент,значение показателя за год,,2016,10.6
Республика Калмыкия,процент,значение показателя за год,,2017,10.0
Республика Калмыкия,процент,значение показателя за год,,2018,9.7
Республика Крым,процент,значение показателя за год,,2015,7.2
Республика Крым,процент,значение показателя за год,,2016,6.8
Республика Крым,процент,значение показателя за год,,2017,6.4
Республика Крым,процент,значение показателя за год,,2018,6.0
Краснодарский край,процент,значение показателя за год,,2010,6.7
Краснодарский край,процент,значение показателя за год,,2011,5.9
Краснодарский край,процент,значение показателя за год,,2012,5.6
Краснодарский край,процент,значение показателя за год,,2013,6.1
Краснодарский край,процент,значение показателя за год,,2014,5.7
Краснодарский край,процент,значение показателя за год,,2015,6.0
Краснодарский край,процент,значение показателя за год,,2016,5.8
Краснодарский край,процент,значение показателя за год,,2017,5.7
Краснодарский край,процент,значение показателя за год,,2018,5.2
Астраханская область,процент,значение показателя за год,,2010,8.2
Астраханская область,процент,значение показателя за год,,2011,8.8
Астраханская область,процент,значение показателя за год,,2012,7.9
Астраханская область,процент,значение показателя за год,,2013,7.5
Астраханская область,процент,значение показателя за год,,2014,7.5
Астраханская область,процент,значение показателя за год,,2015,7.5
Астраханская область,процент,значение показателя за год,,2016,7.6
Астраханская область,процент,значение показателя за год,,2017,7.5
Астраханская область,процент,значение показателя за год,,2018,7.5
Волгоградская область,процент,значение показателя за год,,2010,8.0
Волгоградская область,процент,значение показателя за год,,2011,6.9
Волгоградская область,процент,значение показателя за год,,2012,6.0
Волгоградская область,процент,значение показателя за год,,2013,6.6
Волгоградская область,процент,значение показателя за год,,2014,6.6
Волгоградская область,процент,значение показателя за год,,2015,7.2
Волгоградская область,процент,значение показателя за год,,2016,6.8
Волгоградская область,процент,значение показателя за год,,2017,6.0
Волгоградская область,процент,значение показателя за год,,2018,5.6
Ростовская область,процент,значение показателя за год,,2010,7.7
Ростовская область,процент,значение показателя за год,,2011,7.3
Ростовская область,процент,значение показателя за год,,2012,6.0
Ростовская область,процент,значение показателя за год,,2013,6.0
Ростовская область,процент,значение показателя за год,,2014,5.9
Ростовская область,процент,значение показателя за год,,2015,6.1
Ростовская область,процент,значение показателя за год,,2016,5.8
Ростовская область,процент,значение показателя за год,,2017,5.6
Ростовская область,процент,значение показателя за год,,2018,5.1
Город федерального значения Севастополь,процент,значение показателя за год,,2015,8.3
Город федерального значения Севастополь,процент,значение показателя за год,,2016,6.2
Город федерального значения Севастополь,процент,значение показателя за год,,2017,4.6
Город федерального значения Севастополь,процент,значение показателя за год,,2018,4.3
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2010,16.5
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2011,14.5
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2012,13.1
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2013,13.0
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2014,11.2
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2015,11.1
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2016,11.0
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2017,11.0
Северо-Кавказский федеральный округ,процент,значение показателя за год,,2018,10.6
Республика Дагестан,процент,значение показателя за год,,2010,14.8
Республика Дагестан,процент,значение показателя за год,,2011,12.7
Республика Дагестан,процент,значение показателя за год,,2012,11.7
Республика Дагестан,процент,значение показателя за год,,2013,11.6
Республика Дагестан,процент,значение показателя за год,,2014,10.2
Республика Дагестан,процент,значение показателя за год,,2015,10.8
Республика Дагестан,процент,значение показателя за год,,2016,10.9
Республика Дагестан,процент,значение показателя за год,,2017,12.0
Республика Дагестан,процент,значение показателя за год,,2018,11.6
Республика Ингушетия,процент,значение показателя за год,,2010,49.7
Республика Ингушетия,процент,значение показателя за год,,2011,48.1
Республика Ингушетия,процент,значение показателя за год,,2012,47.7
Республика Ингушетия,процент,значение показателя за год,,2013,43.7
Республика Ингушетия,процент,значение показателя за год,,2014,29.8
Республика Ингушетия,процент,значение показателя за год,,2015,30.5
Республика Ингушетия,процент,значение показателя за год,,2016,30.2
Республика Ингушетия,процент,значение показателя за год,,2017,27.0
Республика Ингушетия,процент,значение показателя за год,,2018,26.6
Кабардино-Балкарская Республика,процент,значение показателя за год,,2010,12.7
Кабардино-Балкарская Республика,процент,значение показателя за год,,2011,10.5
Кабардино-Балкарская Республика,процент,значение показателя за год,,2012,8.9
Кабардино-Балкарская Республика,процент,значение показателя за год,,2013,10.5
Кабардино-Балкарская Республика,процент,значение показателя за год,,2014,9.5
Кабардино-Балкарская Республика,процент,значение показателя за год,,2015,10.1
Кабардино-Балкарская Республика,процент,значение показателя за год,,2016,10.3
Кабардино-Балкарская Республика,процент,значение показателя за год,,2017,10.5
Кабардино-Балкарская Республика,процент,значение показателя за год,,2018,10.5
Карачаево-Черкесская Республика,процент,значение показателя за год,,2010,10.3
Карачаево-Черкесская Республика,процент,значение показателя за год,,2011,9.8
Карачаево-Черкесская Республика,процент,значение показателя за год,,2012,8.9
Карачаево-Черкесская Республика,процент,значение показателя за год,,2013,9.8
Карачаево-Черкесская Республика,процент,значение показателя за год,,2014,13.0
Карачаево-Черкесская Республика,процент,значение показателя за год,,2015,15.1
Карачаево-Черкесская Республика,процент,значение показателя за год,,2016,14.4
Карачаево-Черкесская Республика,процент,значение показателя за год,,2017,13.5
Карачаево-Черкесская Республика,процент,значение показателя за год,,2018,12.1
Республика Северная Осетия-Алания,процент,значение показателя за год,,2010,9.7
Республика Северная Осетия-Алания,процент,значение показателя за год,,2011,8.3
Республика Северная Осетия-Алания,процент,значение показателя за год,,2012,7.9
Республика Северная Осетия-Алания,процент,значение показателя за год,,2013,8.1
Республика Северная Осетия-Алания,процент,значение показателя за год,,2014,8.6
Республика Северная Осетия-Алания,процент,значение показателя за год,,2015,9.3
